UN;PPU;FECHA;HORA;TERM;A14;A15;A16;A17;A18;A14-C1-A;A15-C1-A;A15-C1-B;A15-C1-C;A15-C2-A;A15-C3-A;A16-C1-A;A16-C1-B;A16-C1-C;A16-C2-A;A16-C3-A;A17-C1-A;A17-C1-B;A17-C1-C;A17-C2-A;A17-C3-A;A18-C1-A;A18-C1-B;A18-C1-C;A18-C2-A;A18-C2-B;A18-C3-A;A18-C4-A;OBSERVACION
U8;SHXC20;02-12-2024;12:30:30;EL RETIRO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
U8;STHD65;02-12-2024;12:31:24;EL RETIRO;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;
U8;SJPC56;02-12-2024;12:31:58;EL RETIRO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
U8;STHF62;02-12-2024;12:32:35;EL RETIRO;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;
U8;SJPC37;02-12-2024;12:32:57;EL RETIRO;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;SIN PORTA USB, BUS SUCIO EN SU INTERIOR
U8;STHF13;02-12-2024;12:34:24;EL RETIRO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
U8;SPZX34;02-12-2024;12:35:19;EL RETIRO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
U8;SKHG79;03-12-2024;11:31:11;CONDELL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;SIN OBSERVACIONES 
U8;STHF42;03-12-2024;11:35:20;CONDELL;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;BAJO ASIENTO SUCIO
U8;LDJV51;03-12-2024;11:35:51;CONDELL;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;BAJO ASIENTO SUCIO 
U8;LDJP73;03-12-2024;11:37:01;CONDELL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;SIN OBSERVACIONES 
U8;STHF82;03-12-2024;11:39:07;CONDELL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;SIN OBSERVACIONES 
U8;STHF54;03-12-2024;11:39:32;CONDELL;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;BAJO ASIENTO SUCIO Y CON GRAFITIS EN ASIENTO
U8;SJTD62;03-12-2024;11:40:22;CONDELL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;SIN OBSERVACIONES 
U8;SHXD76;03-12-2024;12:37:40;STA. MARGARITA;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;CABINA DE PASAJEROS SUCIA Y CON BASURA
U8;SHXG32;03-12-2024;12:37:58;STA. MARGARITA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;SIN OBSERVACIONES
U8;SJPD96;03-12-2024;12:38:39;STA. MARGARITA;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;
U8;SJPC49;03-12-2024;12:38:54;STA. MARGARITA;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;PASILLO SUCIO
